Company_Name,Skills they are looking for,Number of positions
alliance recruitment agency,"['bluetooth' 'coding' 'debugging' 'embedded c' 'hardware design'
 'integration testing' 'rtos' 'system design']",1
altisource,['php' 'wordpress'],1
altruista health,"['agile' 'application development' 'computer science'
 'configuration management' 'healthcare' 'javascript' 'jquery' 'json'
 'linux' 'microsoft' 'software engineer ii' 'stored procedures'
 'troubleshooting' 'wcf' 'windows' 'workflow' 'xml']",3
amazon,"[list(['data structures and algorithm design', 'system design', 'design patterns', 'low level design', 'object oriented design', 'high level design'])
 list(['design patterns', 'data structures', 'algorithm design', 'it skills', 'java', 'software development', 'algorithms', 'hld'])
 list(['hld', 'lld', 'data structures and algorithms', 'algorithms', 'c++', 'c', 'software development', 'sql'])
 list(['it skills', 'java', 'cloud', 'angularjs', 'html', 'css', 'javascript', 'computer science'])]",5
ams sensor solutions,"['apache' 'communication' 'docker' 'javascript' 'kubernetes'
 'liferay dxp 7' 'nginx' 'vue']",1
anantha cybertech pvt ltd,"[list(['automation testing', 'manual testing', 'sales', 'selenium', 'information technology', 'testing'])
 list(['automation testing', 'tableau', 'qc', 'qa testing', 'manual', 'selenium', 'information technology', 'sql'])
 list(['computer science', 'ms sql', 'iis', 'web technologies', 'sales', 'networking', 'database', 'windows'])
 list(['gis', 'manager client servicing', 'c++', 'sales', 'client servicing', 'information technology', 'python'])
 list(['hardware networking', 'network administration', 'sales', 'infrastructure', 'information technology', 'virtualization'])
 list(['hypermesh', 'abaqus', 'sales', 'mechanical design', 'information technology', 'automotive'])
 list(['jsp servlets', 'jms', 'hibernate', 'core java', 'spring mvc', 'web services', 'struts', 'jdbc'])
 list(['maven', 'sales', 'tdd', 'agile', 'programming', 'test driven development', 'information technology'])
 list(['networking protocols', 'sales', 'rdbms', 'powershell', 'active directory', 'financial operations', 'saml', 'directory services'])
 list(['oracle database', 'telecom', 'web technologies', 'sales', 'oracle sql', 'networking', 'database', 'plsql'])
 list(['performance tuning', 'application support', 'linux', 'solaris', 'jboss', 'saml', 'apache', 'troubleshooting'])
 list(['sales', 'rdbms', 'powershell', 'paas', 'cloud', 'active directory', 'saml', 'directory services'])
 list(['sql server 2008', 'automation testing', 'oracle 9i', 'linux', 'mysql', 'healthcare', 'html', 'selenium'])
 list(['sql server 2008', 'automation testing', 'oracle 9i', 'linux', 'mysql', 'jenkins', 'html', 'selenium'])
 list(['statistical programming', 'publishing', 'oracle sql', 'tibco', 'teradata', 'business intelligence', 'big data', 'information technology'])
 list(['unix', 'software testing life cycle', 'software testing', 'automation testing', 'manual testing', 'linux', 'software development life cycle', 'selenium'])
 list(['vmware', 'san', 'cloud computing', 'linux', 'infrastructure management', 'disaster recovery', 'emc', 'open source'])
 list(['web technologies', 'mvvm', 'ado.net', 'entity framework', 'microsoft azure', 'informatica', 'mvc', 'ssis'])
 list(['web technologies', 'sales', 'sdk', 'ios', 'information technology', 'mobile testing', 'android', 'testing'])]",19
anblicks cloud data engg private limited,"[list(['it skills', 'testing', 'cloud', 'aws', 'java', 'spring boot', 'microservices'])
 list(['java', 'spring boot', 'microservices'])]",2
anicalls,"[list(['agile', 'scrum', 'management', 'sdlc'])
 list(['algorithms', 'multithreading', 'design patterns', 'data structures', 'communication', 'bluetooth', 'software design', 'software development manager'])
 list(['analytical', 'analytics reporting', 'automation', 'metadata', 'architecture', 'compliance', 'data quality', 'business intelligence'])
 list(['analytics reporting', 'automation', 'metadata', 'architecture', 'analytical', 'data quality', 'data analyst', 'business intelligence'])
 list(['android studio', 'server - side programming', 'mobile android programming', 'kotlin', 'bitbucket', 'hybrid', 'java', 'object - oriented code'])
 list(['angular 7', 'scrum', 'bootstrap', 'typescript', 'asp net core', 'jira', 'html5', 'css3'])
 list(['apex lightning', 'agile', 'scrum', 'sql', 'visualforce', 'salesforce', 'it skills', 'training'])
 list(['architect', 'architecture', 'coding', 'informatica', 'testing'])
 list(['bitbucket', 'embedded linux', 'git', 'jira', 'bamboo', 'shell scripting', 'python', 'c'])
 list(['communication', 'computer science', 'manager technology', 'research', 'testing'])
 list(['communication', 'debugging', 'xsi', 'maya', 'max', 'graphics', 'c++', 'coding'])
 list(['compliance', 'infrastructure', 'manager technology', 'deployment', 'technical staff', 'it management', 'research', 'management'])
 list(['computer science', 'wireless communication', 'jtag', 'front end', 'rf', 'debugging', 'computer architecture', 'radio'])
 list(['css', 'angular framework', 'angular', 'html', 'javascript', 'net core', 'sql', 'mvc'])
 list(['data analysis', 'data gathering', 'data analytics', 'obiee', 'data warehouse', 'etl', 'tableau', 'oracle pl / sql'])
 list(['database management', 'performance tuning', 'ci / cd', 'devops', 'it skills', 'data recovery', 'database administration', 'technical lead'])
 list(['dhcp', 'lte iot', 'linux', 'coap', 'nodejs', 'port mapping', 'wi - fi', 'gsm'])
 list(['iib', 'wtx', 'xml', 'ibm connections integration ibms', 'wmb', 'ibms esb', 'it skills', 'software development'])
 list(['iis', 'cloud', 'active directory', 'dns', 'core network', 'http', 'customer service', 'information technology'])
 list(['it skills', 'cloud', 'aws', 'azure', 'root cause analysis', 'automation', 'web technologies', 'appliances'])
 list(['it skills', 'java', 'python', 'software development', 'cloud', 'javascript', 'unix', 'c++'])
 list(['it skills', 'testing', 'bss', 'networking', 'billing', 'revenue management', 'unit testing'])
 list(['it skills', 'testing', 'cloud', 'angularjs', 'node.js', 'css', 'jenkins', 'computer science'])
 list(['linux', 'maven', 'communication', 'zookeeper', 'docker', 'chef', 'continuous integration', 'agile'])
 list(['linux', 'ssl tls', 'git', 'perl', 'ssl', 'troubleshooting', 'unix', 'c++'])
 list(['matlab', 'ros', 'git', 'python', 'c / c++', 'it skills', 'testing', 'computer science'])
 list(['mining', 'networking', 'infrastructure', 'cryptography'])
 list(['ms excel', 'powerpoint', 'patch management', 'rtc', 'excel', 'cyber security', 'ibm rational', 'nessus'])
 list(['primavera p6', 'cost forecasting', 'cost control systems', 'cost analysis', 'earned value analysis', 'construction management', 'epm', 'erp'])
 list(['python', 'communication', 'it skills', 'analytics reporting', 'interpersonal skills', 'construction', 'simulation', 'workflow'])
 list(['stored procedures', 'active directory', 'debugging', 'sso', 'sql queries', 'qlik', 'performance - tuning', 'cognos bi administration'])
 list(['supervisor', 'basic', 'usage', 'focus', 'query', 'management', 'individual contributor', 'statistics'])
 list(['t - sql', 'sql queries', 'mysql', 'sql', 'ms sql', 't-sql', 'data migration', 'sql database'])
 list(['training', 'deep learning', 'backend', 'coding', 'spark', 'machine learning', 'deployment', 'software services'])
 list(['trend analysis', 'azure spark', 'root cause analysis', 'it skills', 'cloud', 'azure', 'spark', 'architectural design'])]",35
ants global systems private limited,"['b.tech' 'cse' 'information technology' 'it' 'software'
 'software services']",1
any recharge network,['customer care executive' 'focus' 'software solutions'],1
