Company_Name,Skills they are looking for,Number of positions
magnitude software,['asp.net core' 'front end' 'full stack'],1
management health solutions india private limited,['c#' 'software development' 'testing'],1
mantra softech (i) pvt. ltd.,['.net core' 'software engineering' 'web api'],1
mantra technologies private limited,"['analytical' 'coding' 'communication' 'fresher' 'it skills' 'java'
 'java script' 'load runner' 'manual testing' 'mtech' 'python' 'saas'
 'sdlc' 'software testing' 'verbal' 'written communication']",2
manupatra information solutions pvt. ltd.,"['analytical' 'business development' 'communication' 'sales'
 'software sales']",1
maq software,"['azure data lake' 'azure databricks' 'azure devops' 'big data' 'c#'
 'it skills' 'software development' 'sql azure']",1
mars telecom systems private limited,['agile' 'ant' 'core java' 'jms' 'jsp' 'spring 5' 'tomcat' 'xml'],1
marvell,"['agile' 'application security' 'c++' 'cloud' 'coding' 'computer science'
 'embedded linux' 'hsm' 'key management' 'linux' 'load balancing'
 'object oriented design' 'opex' 'semiconductor' 'ssl' 'virtualization']",4
mascot e-services,"['application development' 'comms' 'communication' 'it program management'
 'software implementation' 'support' 'system application development'
 'test automation framework']",1
mathworks,"[list(['c++', 'computer vision', 'regression testing', 'image processing', 'system testing', 'functional testing', 'matlab'])
 list(['c++', 'linux', 'communication', 'posix', 'ros', 'docker', 'dds', 'matlab'])
 list(['it skills', 'software development', 'testing', 'software engineering', 'deep learning'])
 list(['it skills', 'testing', 'html', 'css', 'javascript', 'software engineering'])]",4
max career,"['angular' 'it skills' 'java' 'kafka' 'microservices' 'sdlc' 'spring boot'
 'spring boot framework']",1
maxhair studio international private limited,"['be' 'communication' 'ece' 'eee' 'm s intergrated' 'networking'
 'textile engineering' 'written']",1
medinovix,"['computer science' 'database management' 'equity' 'information system'
 'management systems' 'programming' 'system management' 'time management']",2
medplus health services pvt ltd,['software associate'],1
medvarsity online limited,"['coding' 'mean stack' 'php' 'project management' 'python'
 'software design' 'software development' 'software engineering']",1
microchip technology inc.,"['agile' 'analytical' 'automation' 'c++' 'computer science'
 'data structures' 'debugging' 'embedded linux' 'engineer ii' 'ethernet'
 'fpga' 'linux' 'manager quality assurance' 'mixed signal' 'perl' 'ppc'
 'rf' 'rtos' 'senior engineer ii' 'shell scripting' 'simulation' 'snmp'
 'soc' 'software design' 'software engineer' 'sqa' 'verilog' 'vhdl' 'vpn'
 'windows' 'wireless']",10
micron tech,"[list(['abap development', 'it proc & legal', 'sap mm', 'sap ecc', 'adobe forms', 'odata', 'software development', 'life cycle'])
 list(['angular', 'reactjs', 'javascript', 'c#', 'css', 'hadoop', 'html', 'jquery'])
 list(['angular', 'reactjs', 'javascript', 'css', 'html5', 'hadoop', 'html', 'jquery'])
 list(['angularjs', 'restful services', 'web apis', 'c#', 'oauth', 'java', 'software development', 'typescript'])
 list(['azure', 'devops', 'javascript', 'c#', 't-sql', 'css', '.net framework', 'html'])
 list(['bgp', 'information technology', 'eigrp', 'vtp', 'wan', 'it networking', 'hsrp', 'vlan'])
 list(['c#', 'c++', '.net', 'powershell', 'azure', 'design patterns', 'cloud technologies', 'perl'])
 list(['c#', 'java', 'sql', 'ms sql', 'linux', 'software engineering', 'artificial intelligence', '.net'])
 list(['c#', 'web apis', 'sql', 'css', 'typescript', 'software engineering', 'web technologies', 'artificial intelligence'])
 list(['c++', 'system programming', 'python', 'use cases', 'computer science', 'nand', 'verbal communication', 'android'])
 list(['chef', 'perl', 'python', 'c#', 'c++', '.net core', 'c', 'dll'])
 list(['cloud frameworks', 'api development', 'ux design', 'c#', 'azure', 'git', 'nosql', 'docker'])
 list(['css', 'javascript', 'html', 'java servlets', 'jdk', 'div', 'c', 'web technologies'])
 list(['embedded', 'nand protocols', 'linux tools', 'cmos manufacturing', 'statistical analysis', 'version control tool', 'nand flash', 'perl'])
 list(['git', 'salesforce operations', 'azure devops', 'data loader', 'powershell', 'java', 'import wizard', 'ant'])
 list(['hadoop', 'teradata', 'angular', 'c#', 't-sql', 'css', 'azure basic', 'etl tools'])
 list(['hibernate', 'java8', 'spring boot', 'jenkins', 'algorithms', 'software engineering', 'github', 'data structures'])
 list(['it automation', 'software engineering', 'enterprise support', 'troubleshooting', 'operational support'])
 list(['it mfg sqa', 'programming documentation', 'coding', 'designs', 'system implementation', 'flowcharting', 'maintenance'])
 list(['it proc & legal', 'application security solutions', 'software development', 'information security', 'it'])
 list(['java', 'c++', 'c', 'css', 'javascript frameworks', 'full stack application development', 'jdbc', 'html'])
 list(['json', 'edi', 'xml', 'unix', 'java', 'sap', 'java scripts', 'workday'])
 list(['mobile systems', 'dram', 'nand', 'c++', 'system programming', 'mobile soc system', 'mobile platform', 'android system'])
 list(['nosql databases', 'sql', 'application security', 'c#', 'restful api', 'java', 'azure', 'solution architecture'])
 list(['privileged identity management', 'agile methodology', 'iam', 'c#', 'java', 'angularjs', 'c++', 'web technologies'])
 list(['query store', 'sql audit', 'itil', 'powershell', 'high availability', 'database administration', 'ssrs', 'ssis'])
 list(['rtos', 'mobile soc system', 'android', 'system programming', 'c++', 'dram', 'nand', 'python'])
 list(['sap ecc', 'sap abap', 'object oriented programming', 'ui5', 'performance tuning', 'bopf framework', 'hana db', 'fiori'])
 list(['sap sd', 'sap abap', 'sap mm', 'sap ecc', 'rest', 'hana migration', 'soa', 'sap le'])
 list(['software development', 'application security', 'software engineering', 'information security', 'performance analysis'])
 list(['software development', 'application security', 'software engineering', 'information security', 'performance analysis', 'testing'])
 list(['ssd validation test', 'testing tools', 'automation testing', 'software validation'])
 list(['typescript', 'javascript', 'html', 'c#', 'continuous integration', 'css', 'nosql databases', 'testing'])
 list(['typescript', 'javascript', 'html', 'css', '.net core', 'front end', 'html5', 'web development'])
 list(['wireless', 'network engineering', 'wan', 'vpn', 'network administration', 'troubleshooting', 'switching', 'local area network'])]",36
microsoft,"['.net' 'account management' 'active directory' 'adb' 'adobe' 'agile' 'ai'
 'algorithms' 'analytical' 'analytics' 'android' 'android application'
 'android os' 'angularjs' 'animation' 'antivirus'
 'application development' 'architecting' 'architecture' 'asp net'
 'asp.net' 'asynchronous programming' 'auditing' 'author' 'automation'
 'automation framework' 'aws' 'azure' 'azure cloud' 'azure dev ops'
 'azure devops' 'azure functions' 'azure tables' 'backend' 'bash'
 'big data' 'big data analytics' 'billing' 'business analytics'
 'business intelligence' 'business process' 'business services'
 'business solutions' 'c' 'c / c++' 'c#' 'c++' 'capacity management'
 'career development' 'cassandra' 'ccna' 'cisco' 'cloud' 'cloud computing'
 'cloud development' 'cloud native technologies' 'cloud security'
 'cloud services' 'coding' 'color management' 'communication'
 'computer science' 'computer vision' 'consulting' 'container networking'
 'corporate' 'cosmos db' 'crm' 'css' 'customer service' 'customer support'
 'cyber security' 'data analysis' 'data governance' 'data mining'
 'data modeling' 'data processing' 'data science' 'data security'
 'data structure' 'data structures' 'database' 'databricks' 'debugging'
 'delivery management' 'demand forecasting' 'design architect' 'devops'
 'digital marketing' 'diversity and inclusion' 'dns' 'dpdk' 'dtp'
 'dynamics 365' 'electrical engineering' 'engineering management'
 'engineering manager' 'engineering projects' 'enterprise computing' 'erp'
 'event management' 'excel' 'firewalls' 'firmware' 'front end'
 'functional testing' 'ga' 'gcp' 'github' 'gradle' 'graphics' 'hardware'
 'horovod' 'hp data protector' 'html' 'http' 'https' 'iaas'
 'image processing' 'incident management' 'information security'
 'information technology' 'infrastructure management' 'instrumentation'
 'interpersonal skills' 'ios' 'ip' 'ipvpn' 'it skills' 'j2ee' 'java'
 'javascript' 'kotlin' 'kubernetes' 'legal' 'life' 'linux'
 'load balancers' 'mac' 'machine learning' 'macos' 'management'
 'manager program management' 'manager quality control'
 'manager technology' 'memory management' 'microsoft' 'microsoft azure'
 'microsoft dynamics' 'microsoft net' 'microsoft windows programming'
 'mining' 'ml' 'monitoring' 'ms sql' 'multi - threaded'
 'multi - threading' 'mysql' 'net' 'network operations'
 'network programming' 'network security' 'networking'
 'networking protocols' 'object - oriented programming'
 'object oriented programming' 'ooad' 'open source' 'operating systems'
 'operational excellence' 'operations' 'order management' 'paas'
 'packaging' 'people management' 'people management skills'
 'performance management' 'performance tuning' 'perl' 'pipelines'
 'platform development' 'postgresql' 'power apps' 'power bi' 'powershell'
 'process automation' 'process improvement' 'product innovation'
 'product management' 'program management' 'project development'
 'project planning' 'publishing' 'python' 'qos' 'quality manager'
 'quality systems' 'react' 'repo' 'risk management' 'ruby' 'saas' 'sap'
 'sap abap' 'science' 'scrum' 'scrum methodologies' 'security compliance'
 'security services' 'sem' 'service fabric' 'shell' 'side api' 'siem'
 'simulation' 'soa' 'soc' 'software defined networking' 'software design'
 'software development' 'software development life cycle'
 'software engineer ii' 'software quality' 'sql' 'stack'
 'strategic leadership' 'supply chain' 'supply chain management'
 'system architecture' 'system programming' 'system software'
 'systems design' 'systems programming' 'tableau' 'tcp' 'tdd'
 'team building' 'technical design' 'technical leadership' 'telecom'
 'tensorflow' 'test cases' 'testing' 'tfx' 'tls' 'troubleshooting'
 'typescript' 'udp' 'verbal' 'verbal communication' 'virtualization'
 'visual studio' 'vmware' 'vpn' 'wan' 'warehouses' 'web api'
 'web development' 'web services' 'web technologies' 'windows'
 'windows os' 'wireless' 'workflow' 'written' 'xml']",113
mimics east technologies private limited,['oops' 'software development' 'sql database'],1
mindskill hr consultant,"['application programming' 'artificial intelligence' 'bscit' 'coding'
 'communication' 'html' 'java' 'programming' 'python']",2
mitratech,"['agile' 'angular' 'automation testing' 'azure' 'azure sql' 'bootstrap'
 'cloud platforms development' 'git' 'it skills' 'jenkins' 'jquery'
 'selenium' 'tdd' 'testing' 'tpm']",2
mitratech india llp,"['appium' 'asp.net' 'automation testing' 'css' 'exploratory testing'
 'it skills' 'javascript' 'katalon studio' 'manual testing' 'mvc'
 'regression testing' 'selenium' 'testrail' 'wcf' 'wcf web api'
 'web development']",2
mize software solutions pvt ltd,"['apis' 'aws codecommit' 'communication' 'containerization' 'elastic'
 'hibernate' 'integration' 'jenkins' 'jpa' 'junit' 'maven' 'microservices'
 'mysql' 'oauth' 'object oriented design' 'rdbms' 'service management'
 'soa' 'solr' 'spring aop' 'spring boot' 'ssl' 'wellness']",4
modernize chip solutions private limited,"[list(['linux ipc mechanisms', 'linux kernel programming', 'os fundamentals', 'data structures', 'c programming', 'i2c', 'linux device drivers'])
 list(['networking protocols', 'os fundamentals', 'ipv6', 'l2', 'l3', 'ipv4', 'wlan', '802.11'])]",3
moglix,"['architecture' 'backend' 'computer science' 'mongodb' 'nosql'
 'performance optimization' 'programming' 'web services']",1
mphasis,"['.net' 'agile' 'agile development' 'algorithms' 'android os'
 'android studio' 'angular 4+' 'asp net' 'bpo' 'c++'
 'c/c++ embedded programming' 'circuit design' 'circuit designing'
 'communication' 'core java' 'css' 'debugging' 'design analysis'
 'design patterns' 'dynatrace' 'electronics engineering' 'hdl'
 'heap dumps' 'html' 'ibm bpm configuration' 'it skills' 'java'
 'javascript' 'jfr' 'jira' 'karma' 'kotlin' 'linux' 'memory management'
 'microfocus lre2020' 'new product design' 'performance testing'
 'program management' 'project management' 'restful services' 'scrum'
 'service oriented architecture' 'simulation tools' 'spring framework'
 'spring frameworks' 'spring mvc' 'testing' 'unix' 'waterfall' 'webapi'
 'workflow management']",7
msys tech india pvt. ltd.,['.net' 'windows application development' 'winforms'],1
mti integration services india private limited,"['api' 'automation testing' 'java' 'software quality assurance'
 'test cases']",1
mvg hr solutions pvt ltd,"['azure' 'azure sql server' 'data modeling' 'etl design' 'it skills'
 'ms sql' 'ms sql server' 'sql development']",1
napier healthcare solutions,"['agile' 'angular js' 'angularjs1.x' 'bootstrap' 'core java' 'css' 'css3'
 'hibernate' 'html5' 'java' 'javascript' 'jira' 'ms sql' 'scss' 'spring']",2
ncr corporation,"['apex programming' 'css' 'javascript' 'relational databases' 'salesforce'
 'scripting languages' 'software engineering' 'typescript']",1
neemus software solutions pvt ltd,"['.net' 'android ux' 'asp net' 'asp.net' 'c#' 'capacitor native'
 'computer science' 'sql server']",1
neer interactive solutions (p) ltd,"['arcgis' 'c' 'data analysis' 'developing' 'development' 'mapinfo'
 'mapping' 'rup' 'sql' 'vb' 'vb.net']",3
ness,"['data warehousing' 'debugging' 'informatica' 'it skills'
 'manager quality assurance' 'plsql' 'quality assurance' 'testing']",1
netcracker,"['cisco asa' 'cisco nexus' 'cloud' 'design' 'it skills' 'load balancing'
 'python' 'routing']",1
neustar,"['agile' 'devops' 'it skills' 'operational excellence'
 'program management' 'project management' 'resourcing' 'training']",1
new global technologies,['c' 'c++' 'css' 'delphi' 'dot net' 'java' 'javascript' 'jquery'],1
nexgile technologies private limited,"['.net' 'it skills' 'java' 'mca' 'personal skills' 'software development'
 'testing' 'written communication']",1
next sphere technologies india private limited,"['angular' 'asp net' 'c#' 'js' 'mvc' 'object oriented development'
 'react js' 'webapi']",1
nexus computers private limited,"['ccna' 'computer maintenance' 'fms' 'fms engineer' 'it' 'it hardware'
 'system administration' 'system administrator']",1
neyyar technologies,"['android' 'c' 'c++' 'frondend' 'html' 'javascript' 'node.js'
 'software development']",1
nhance consulting engineers private limited,"['business development engineer' 'communication'
 'engineering software sales' 'presentation' 'sales engineering']",1
nipun,"['ccna' 'network security' 'networking' 'ospf' 'recruitment' 'rip'
 'routing protocols']",1
nisc exports services (p) ltd,"['agile' 'coding' 'http' 'networking' 'soa' 'software design'
 'web development' 'xml']",1
nisum technologies,"['automation' 'coding' 'drupal' 'mysql' 'php' 'sdlc'
 'software development manager' 'testing']",1
nordic semiconductor india pvt. ltd,"[list(['it skills', 'python', 'software development', 'rtos', 'protocols', 'd', 'project development', 'wi-fi applications'])
 list(['rtos concepts', 'firmware development', 'wifi', 'c', 'software development', 'linux', 'bluetooth low energy', 'debugging'])
 list(['rtos concepts', 'firmware development', 'wifi', 'electricals', 'python', 'r', 'c', 'linux'])
 list(['wireless', 'embedded software', 'rtos', 'wi-fi', 'software engineering'])]",4
novartis healthcare,"['agile' 'agile methodology' 'application development'
 'artificial intelligence' 'automation' 'big data' 'clinical trials'
 'cloud computing' 'computer science' 'cvs' 'data modeling' 'data quality'
 'dns' 'front end' 'git' 'information technology' 'javascript' 'jms' 'jsp'
 'lan' 'machine learning' 'manager technology' 'maven' 'nosql'
 'operations manager' 'performance testing' 'performance tuning' 'pharma'
 'representative' 'scrum' 'vpn' 'wan' 'web development' 'wireless']",5
novateur technologies,"[""api's testing"" 'c' 'code' 'communication' 'db' 'debugging' 'development'
 'encryption' 'it skills' 'level' 'manual testing' 'mobile' 'software'
 'sql' 'testing' 'verbal']",2
ntt data,"[list(['apex programming', 'relational database', 'communication', 'salesforce', 'web services', 'sql', 'salesforce com', 'force com'])
 list(['communication', 'analytical', 'sdlc', 'requirement analysis', 'software development life cycle', 'it skills', 'software development', 'testing'])
 list(['confluence', 'agile', 'jira', 'agile methodology', 'it skills', 'project management', 'bpo', 'project management'])
 list(['it services', 'automation', 'development', 'sap', 'technical', 'schema', 'business rules', 'business objects'])
 list(['it services', 'business process', 'automation', 'data services', 'consulting', 'reconciliation', 'architectural design', 'scheduling'])
 list(['it skills', 'cloud', 'sap', 'sap ecc', 'sap erp', 'commerce', 'information technology'])
 list(['it skills', 'testing', 'salesforce', 'usage', 'web technologies', 'web services', 'system integration', 'salesforce.com'])
 list(['jsp', 'j2ee', 'windhill plm', 'xml', 'oracle database', 'sql', 'bootstrap', 'java'])
 list(['restful', 'agile', 'salesforce com point', 'rest api', 'apex', 'visualforce pages', 'soap', 'soap ui'])
 list(['ui development', 'it skills', '.net', 'quality standards', 'vb.net', 'information technology'])
 list(['unit testing', 'sap hybris', 'it skills', 'testing', 'cloud', 'sap', 'sap erp', 'commerce'])
 list(['written', 'verbal communication', 'computer science', 'analyst', 'computer hardware', 'networking', 'integration analyst', 'manager technology'])]",12
nvidia,"[list(['android'])
 list(['c++', 'linux', 'networking', 'configuration management', 'web development', 'agile', 'windows', 'open source'])
 list(['computer science', 'c++', 'linux', 'networking', 'analytical', 'windows', 'virtualization', 'gaming'])
 list(['computer science', 'c++', 'networking', 'qos', 'analytical', 'debugging', 'computer graphics', 'gaming'])
 list(['computer science', 'networking protocols', 'linux', 'networking', 'coding', 'ethernet', 'architectural design', 'manager technology'])
 list(['computer science', 'networking protocols', 'linux', 'networking', 'coding', 'ethernet', 'manager technology', 'tcp/ip'])
 list(['computer science', 'system architecture', 'c++', 'linux', 'uml', 'shell scripting', 'debugging', 'virtualization'])
 list(['computer science', 'system testing', 'automation', 'linux', 'project management', 'qnx', 'automotive', 'android'])
 list(['computer science', 'system testing', 'linux', 'project management', 'process improvement', 'qnx', 'automotive', 'android'])
 list(['devops', 'system software'])
 list(['senior software engineer - data and ml'])
 list(['system architecture', 'c++', 'networking', 'assembly language', 'soc', 'linux kernel', 'debugging', 'firmware'])
 list(['system software']) list(['systems software engineer'])
 list(['wireless', 'embedded c', 'linux', 'networking', 'coding', 'linux kernel', 'debugging', 'pcie'])]",18
omega whitespace health,"['application support' 'cloud' 'communication' 'etl' 'it skills' 'json'
 'sql' 'sql development' 'sql query writing' 'sql server']",2
omics international,"['analytical' 'bpo' 'chemical engineering' 'financial reporting'
 'food technology' 'head business development' 'it skills' 'management'
 'pharma' 'project management' 'technology management' 'vice president']",3
onpassive,['angular' 'css' 'html' 'it skills' 'javascript'],1
onpassive technologies pvt. ltd.,"['core java' 'elastic search' 'enzyme' 'it skills' 'j2ee' 'java'
 'javascript' 'jenkins' 'jest' 'less' 'redux' 'restful' 'sass'
 'software development' 'spring boot' 'testing']",2
onward technologies limited,"[list(['rhapsody', 'autosar architecture'])
 list(['rhapsody', 'doors', 'simulink', 'matlab', 'autosar', 'systems', 'vehicle dynamics', 'autosar architecture'])]",4
opentext,"[list(['abap workflow', 'dialog programming', 'sap abap oops', 'odata', 'cds', 'software development methodologies', 'software engineering', 'oops'])
 list(['agile scrum methodology', 'project management', 'program management', 'mitigation', 'software engineering', 'process improvement', 'project delivery'])
 list(['application architecture', 'javascript', 'html', 'angularjs', 'java', 'css', 'front end', 'web technologies'])
 list(['azure', 'gcp', 'aws', 'angularjs', 'java', 'css', 'html5', 'jsp'])
 list(['c#', '.net', 'wpf', 'agile', 'software development lifecycle', 'scrum', 'svn', 'multi - threading'])
 list(['content server', 'software engineering', 'oscript', 'it skills', 'java', 'project management', 'program management', 'bpo'])
 list(['css', 'ui', 'html', 'angularjs', 'fusion charts', 'jquery', 'html5', 'javascript'])
 list(['defect life cycle', 'sdlc', 'stlc', 'it skills', 'testing', 'change management', 'agile framework', 'alm'])
 list(['deno', 'spring boot', 'node.js', 'react', 'javascript', 'sass', 'restful apis', 'node js'])
 list(['design patterns', 'algorithm design', 'data structures', 'angularjs', 'css', 'jquery', 'html5', 'javascript'])
 list(['java', 'angularjs', 'backbonejs', 'software development lifecycles', 'restful apis', 'javascript', 'html', 'agile'])
 list(['java', 'css', 'html5', 'software engineering', 'javascript', 'graphql', 'json', 'spring boot'])
 list(['java', 'j2ee', 'html', 'css', 'wsdl', 'soap', 'application development', 'xml schema'])
 list(['java', 'javascript', 'ajax', 'xml sql', 'angularjs', 'ui', 'devops', 'agile'])
 list(['java', 'oauth2', 'sso', 'ci', 'reactjs', 'cd', 'analytical', 'communication'])
 list(['java', 'project management', 'oscript', 'it skills', 'program management', 'bpo', 'software engineering', 'coding'])
 list(['java', 'rest api', 'web services', 'angular js', 'devops', 'javascript', 'product development', 'spring boot'])
 list(['java', 'rest api', 'web services', 'dev ops', 'angular js', 'microservices', 'spring boot', 'communication'])
 list(['java', 'rest api', 'web services', 'it skills', 'testing', 'software engineering', 'web technologies', 'javascript'])
 list(['linux os', 'shell scripting', 'python', 'it skills', 'cloud', 'jenkins', 'aws', 'elk'])
 list(['powershell', 'shell scripting', 'python', 'elk', 'continuous delivery', 'jenkins', 'salt', 'terraform'])
 list(['project management', 'java full stack development', 'program management', 'it skills', 'java', 'bpo', 'software engineering', 'agile'])
 list(['project management', 'software engineering', 'java full stack development', 'content server', 'program management', 'oscript'])
 list(['project management', 'software engineering', 'java full stack development', 'it skills', 'java', 'program management', 'bpo', 'content server'])
 list(['sfdc development', 'java', 'salesforce.com development', 'communication', 'apex', 'sfdc', 'change management', 'salesforce com'])
 list(['sql server', 'oracle', 'microsoft graph api', 'xpath', 'object oriented', 'wsdl', 'hana', 'soap'])
 list(['wsdl', 'soap', 'web services', 'it skills', 'java', 'j2ee', 'software development', 'cloud'])]",27
oportun,['gradle' 'java8' 'jenkins' 'microservices' 'sonarqube' 'spring boot'],1
option matrix,['.net' 'communication' 'front end' 'ms sql development' 'oops' 'sql'],1
